size,model,embedding,tissue,acc,precision,recall,f1,,TN,FP,FN,TP,positive,negative,,TN,FP,FN,TP
small,Transformer,hyena,Heart_Left_Ventricle,0.684210526,0.666666667,0.666666667,0.666666667,,0.38,0.62,0.09,0.91,11,8,,3,5,1,10
small,Transformer,NT,Heart_Left_Ventricle,0.578947368,0.578947368,0.578947368,0.578947368,,0,1,0,1,11,8,,0,8,0,11
small,Transformer,gpn,Heart_Left_Ventricle,0.578947368,0.578947368,0.578947368,0.578947368,,0,1,0,1,11,8,,0,8,0,11
small,Transformer,enformer-pca,Heart_Left_Ventricle,0.578947368,0.578947368,0.578947368,0.578947368,,0,1,0,1,11,8,,0,8,0,11
small,Transformer,dnabert,Heart_Left_Ventricle,0.789473684,0.769230769,0.769230769,0.769230769,,0.62,0.38,0.09,0.91,11,8,,5,3,1,10
middle,Transformer,hyena,Heart_Left_Ventricle,0.5,0.583333333,0.583333333,0.583333333,,0.62,0.38,0.59,0.41,17,13,,8,5,10,7
middle,Transformer,NT,Heart_Left_Ventricle,0.433333333,0,0,0,,1,0,1,0,17,13,,13,0,17,0
middle,Transformer,gpn,Heart_Left_Ventricle,0.633333333,0.636363636,0.636363636,0.636363636,,0.38,0.62,0.18,0.82,17,13,,5,8,3,14
middle,Transformer,enformer-pca,Heart_Left_Ventricle,0.433333333,0,0,0,,1,0,1,0,17,13,,13,0,17,0
middle,Transformer,dnabert,Heart_Left_Ventricle,0.466666667,0.6,0.6,0.6,,0.85,0.15,0.82,0.18,17,13,,11,2,14,3
large,Transformer,hyena,Heart_Left_Ventricle,0.35,0.321428571,0.321428571,0.321428571,,0.21,0.79,0.44,0.56,16,24,,5,19,7,9
large,Transformer,NT,Heart_Left_Ventricle,0.4,0.4,0.4,0.4,,0,1,0,1,16,24,,0,24,0,16
large,Transformer,gpn,Heart_Left_Ventricle,0.525,0.421052632,0.421052632,0.421052632,,0.54,0.46,0.5,0.5,16,24,,13,11,8,8
large,Transformer,enformer-pca,Heart_Left_Ventricle,0.4,0.4,0.4,0.4,,0,1,0,1,16,24,,0,24,0,16
large,Transformer,dnabert,Heart_Left_Ventricle,0.4,0.4,0.4,0.4,,0,1,0,1,16,24,,0,24,0,16
small,Transformer,hyena,Esophagus_Mucosa,0.617021277,0.75,0.75,0.75,,0.96,0.04,0.85,0.15,20,27,,26,1,17,3
small,Transformer,NT,Esophagus_Mucosa,0.574468085,0,0,0,,1,0,1,0,20,27,,27,0,20,0
small,Transformer,gpn,Esophagus_Mucosa,0.574468085,0.5,0.5,0.5,,0.78,0.22,0.7,0.3,20,27,,21,6,14,6
small,Transformer,enformer-pca,Esophagus_Mucosa,0.425531915,0.425531915,0.425531915,0.425531915,,0,1,0,1,20,27,,0,27,0,20
small,Transformer,dnabert,Esophagus_Mucosa,0.553191489,0.47826087,0.47826087,0.47826087,,0.56,0.44,0.45,0.55,20,27,,15,12,9,11
middle,Transformer,hyena,Esophagus_Mucosa,0.5,0.65625,0.65625,0.65625,,0.42,0.58,0.46,0.54,39,19,,8,11,18,21
middle,Transformer,NT,Esophagus_Mucosa,0.327586207,0,0,0,,1,0,1,0,39,19,,19,0,39,0
middle,Transformer,gpn,Esophagus_Mucosa,0.603448276,0.766666667,0.766666667,0.766666667,,0.63,0.37,0.41,0.59,39,19,,12,7,16,23
middle,Transformer,enformer-pca,Esophagus_Mucosa,0.327586207,0,0,0,,1,0,1,0,39,19,,19,0,39,0
middle,Transformer,dnabert,Esophagus_Mucosa,0.672413793,0.75,0.75,0.75,,0.47,0.53,0.23,0.77,39,19,,9,10,9,30
large,Transformer,hyena,Esophagus_Mucosa,0.526315789,0.490909091,0.490909091,0.490909091,,0.32,0.68,0.23,0.77,35,41,,13,28,8,27
large,Transformer,NT,Esophagus_Mucosa,0.513157895,0.479166667,0.479166667,0.479166667,,0.39,0.61,0.34,0.66,35,41,,16,25,12,23
large,Transformer,gpn,Esophagus_Mucosa,0.605263158,0.647058824,0.647058824,0.647058824,,0.85,0.15,0.69,0.31,35,41,,35,6,24,11
large,Transformer,enformer-pca,Esophagus_Mucosa,0.552631579,0.52173913,0.52173913,0.52173913,,0.73,0.27,0.66,0.34,35,41,,30,11,23,12
large,Transformer,dnabert,Esophagus_Mucosa,0.447368421,0.442622951,0.442622951,0.442622951,,0.17,0.83,0.23,0.77,35,41,,7,34,8,27
small,Transformer,hyena,Nerve_Tibial,0.547169811,0.540540541,0.540540541,0.540540541,,0.35,0.65,0.26,0.74,27,26,,9,17,7,20
small,Transformer,NT,Nerve_Tibial,0.509433962,0.509433962,0.509433962,0.509433962,,0,1,0,1,27,26,,0,26,0,27
small,Transformer,gpn,Nerve_Tibial,0.509433962,0.509433962,0.509433962,0.509433962,,0,1,0,1,27,26,,0,26,0,27
small,Transformer,enformer-pca,Nerve_Tibial,0.433962264,0.363636364,0.363636364,0.363636364,,0.73,0.27,0.85,0.15,27,26,,19,7,23,4
small,Transformer,dnabert,Nerve_Tibial,0.509433962,0.509433962,0.509433962,0.509433962,,0,1,0,1,27,26,,0,26,0,27
middle,Transformer,hyena,Nerve_Tibial,0.5,0.567567568,0.567567568,0.567567568,,0.43,0.57,0.45,0.55,38,28,,12,16,17,21
middle,Transformer,NT,Nerve_Tibial,0.575757576,0.575757576,0.575757576,0.575757576,,0,1,0,1,38,28,,0,28,0,38
middle,Transformer,gpn,Nerve_Tibial,0.590909091,0.666666667,0.666666667,0.666666667,,0.61,0.39,0.42,0.58,38,28,,17,11,16,22
middle,Transformer,enformer-pca,Nerve_Tibial,0.575757576,0.575757576,0.575757576,0.575757576,,0,1,0,1,38,28,,0,28,0,38
middle,Transformer,dnabert,Nerve_Tibial,0.575757576,0.575757576,0.575757576,0.575757576,,0,1,0,1,38,28,,0,28,0,38
large,Transformer,hyena,Nerve_Tibial,0.525773196,0.480769231,0.480769231,0.480769231,,0.49,0.51,0.43,0.57,44,53,,26,27,19,25
large,Transformer,NT,Nerve_Tibial,0.453608247,0.453608247,0.453608247,0.453608247,,0,1,0,1,44,53,,0,53,0,44
large,Transformer,gpn,Nerve_Tibial,0.525773196,0.466666667,0.466666667,0.466666667,,0.7,0.3,0.68,0.32,44,53,,37,16,30,14
large,Transformer,enformer-pca,Nerve_Tibial,0.546391753,0,0,0,,1,0,1,0,44,53,,53,0,44,0
large,Transformer,dnabert,Nerve_Tibial,0.453608247,0.453608247,0.453608247,0.453608247,,0,1,0,1,44,53,,0,53,0,44
